,Male,Female,Total,Ages 18-25,Ages 26-49,Ages 50 or Older,mental health,depression,mentally ill,mental illness,unwell,not well,struggle,self harm,suicidal,i hate myself,anymore,help me,cutting,pain,kill me,anxiety,social anxiety,worse,unmotivated,lost,trauma,unwanted,bpd,ptsd,suicide,vulnerable,lonely,sad,miserable,low,hopeless,aching,always,never,down,stressed,helpless,worthless,insecure,stuck,hurting,numb,intrusive,don't know why,crying,nothing matters,empty,overwhelmed,hurt,tired,grippy socks,stressy depressy,suey,kms,kill myself,unalive,unaliving,crippling
kill me,0.07509325391590525,-0.006525882447843107,0.029559196583068676,0.2564345090664979,0.040171210030608855,-0.4430494029025238,0.06978239907857794,0.16891361129559568,0.1644214328957419,0.49646791396687995,-0.0803128593306784,0.3153564612792008,-0.4959300004456567,0.44844447600291737,0.5145637052702202,-0.23754323105451483,0.3559838059130098,0.40015280811407467,0.4099942038799096,0.4737920964969728,1.0,0.40208313436816967,0.6219202823111216,0.3672171254976559,0.3346261863505004,-0.46166329490029984,0.11825269850959452,0.604459970079279,0.2849886917659994,0.43194881382106115,0.45013780103340084,0.25350959352615937,-0.47720510589463166,0.6019181053495516,-0.4950093212379025,0.32494350401800604,0.4170106807679679,0.5303612196372283,0.37671062035502334,-0.17036030518809422,0.17531632259744415,0.49921528367376866,0.17195261599488873,0.5688686194836814,0.26664032824796924,0.5709841366514046,0.499846841862827,0.027089603056935852,0.32830033629615785,0.24583945682599193,0.5661357552930127,-0.43642995776817506,0.4294824366644786,0.369493216643362,0.42858624623882685,0.44954206106194416,0.3023535017098934,0.0619122691157923,-0.08982292400114782,0.53334400743483,0.5026878798650942,0.06358716858108569,0.036286857239394454,0.35987849205685657
anxiety,0.7774039864068643,0.7941168518512779,0.8100204082270864,0.9534578521044805,0.7931711661364748,-0.36364808465853926,0.8267768840895067,0.48134595265384117,-0.11023547999603117,0.9327389265068519,0.5835679527068797,0.9522433746507388,-0.6091295844980685,0.436317308989009,0.8631423604632592,-0.8894538522975993,0.7603025055350858,0.954653142966966,0.9923668481842184,0.9849864972242821,0.40208313436816967,1.0,0.8210254102582392,0.9742219346541434,0.9598602231388982,-0.7743356624748184,0.8428471969238853,0.9214089882079475,0.925864244786928,0.9932679895932722,0.17949060091736024,0.8418791981878365,-0.9337811896676118,0.8421711448597017,-0.5925495173027898,0.936464886453554,0.31003300857970306,0.9211319205376635,0.9052845584686794,-0.39513846561386073,-0.06875552048598409,0.5456039464668232,0.30004397930337773,0.8272707024937926,0.9187641461362616,0.8548094046838478,0.9681998604400663,0.4474844075196189,0.9560502257164087,0.9041209659721617,0.9144621651094175,-0.9126206462994466,0.9842461506383628,0.9330617718194468,0.8737522446393786,0.9678906674763407,0.8612165946433605,0.7894049600883751,-0.6640359853704263,0.8485284405761063,0.914230620120351,0.4981104370150463,0.39739738065515645,0.813236596615601
social anxiety,0.49814831698237183,0.49455528193795156,0.5118174139634346,0.6759580167737533,0.47056779527699,-0.1827710107720568,0.42053259044287516,0.2000930603652678,0.07079397587616025,0.8677060269435163,0.24670751295695048,0.7431603575030523,-0.8350535564075472,0.8455255223345058,0.9033606205243729,-0.604206889081594,0.6054727366432482,0.8665155784369162,0.8156721872045739,0.897085928533256,0.6219202823111216,0.8210254102582392,1.0,0.8164486378587601,0.77853305104715,-0.8719965503426362,0.4397473490673812,0.9525560505830426,0.7142374078391583,0.8418349222889842,0.275547107349716,0.6086588452215719,-0.8617081378884552,0.8711773327424635,-0.5359957256407606,0.6531673061081633,0.5702685198897721,0.9518144267070149,0.7813083840170701,-0.28908563382791763,0.04523446375230099,0.5509420571081168,0.04526687365456843,0.8364058642828203,0.6611750121531565,0.9289351191637861,0.9075859870346157,0.4910888660574072,0.7722465867637996,0.5992281046685346,0.9414036089483426,-0.8285423641738645,0.8562710944351319,0.7888542819228642,0.8314725742838849,0.8857334931873151,0.7041127064203601,0.41363511430243144,-0.3157566336370638,0.9418426774554237,0.8829372271009885,0.3399249086017845,0.2818854171292816,0.624591834473301
worse,0.7743897926837976,0.835830934688187,0.835610754242193,0.9441895363412142,0.8020570287889673,-0.22985986391411894,0.806859731796741,0.3667329035780192,-0.1907963014816079,0.8815053402819674,0.674882049862691,0.9745878405328838,-0.6277205086215852,0.49114309374617937,0.8865208811446461,-0.8427920982942331,0.704537559939795,0.9562481989570836,0.9558264638819448,0.9650289354444804,0.3672171254976559,0.9742219346541434,0.8164486378587601,1.0,0.977104336571518,-0.8045047114751058,0.8017314716198753,0.8962774849970843,0.9392991188487458,0.9826277517102681,0.14465834026638014,0.91147715880206,-0.9217660205204445,0.778412998814278,-0.5241828979385296,0.8934596958500326,0.36391346409208136,0.9069426168065678,0.9191002802941513,-0.3159059327979587,-1.1987218885571595e-05,0.5108148228642323,0.26618541424044156,0.8334255400519436,0.9443921945599254,0.8788893602560774,0.9619008618751451,0.4902475369745119,0.9801393051811332,0.8605224248281389,0.9056593608721459,-0.8973639757545047,0.98156676413596,0.9775579977293641,0.8738755944781791,0.94294255330394,0.8670788182361706,0.771773420134232,-0.577507424550304,0.8435140783097136,0.8703401070080498,0.5574178069592542,0.45392760936364107,0.7481844541977952
unmotivated,0.8559399457943023,0.8850396420770515,0.8959332711597835,0.9662360317059753,0.8717487505789864,-0.20325475974918028,0.8496780631731723,0.3080186695518253,-0.27052761603092346,0.826422004222062,0.7513013776540146,0.9880961520269783,-0.5634542194547425,0.4419805633702449,0.8418245130327657,-0.858755746200529,0.6500726650860269,0.956515237346218,0.9285570576333843,0.9380814601589038,0.3346261863505004,0.9598602231388982,0.77853305104715,0.977104336571518,1.0,-0.7362532866527792,0.8606029290665671,0.8599670341699585,0.9763910237782272,0.9730740283444146,0.07363666838035346,0.9085699413471858,-0.8978792721206341,0.7215661590517913,-0.5629612290836096,0.9112603306561395,0.28592278486407036,0.8490540825638406,0.9185475353210556,-0.32666179558482844,0.03640737156824948,0.4356047934731289,0.15241726525081967,0.7565760711639176,0.9402020284154144,0.853093677124643,0.938435987661994,0.41692319460894417,0.9978228136848935,0.8344050847316057,0.8560313021934628,-0.8393610906957683,0.9576876811146117,0.9843416872389893,0.8753470221600719,0.9204022400479768,0.9191715690630178,0.7828740985971874,-0.5940658967116734,0.8248533877252823,0.806483303841199,0.665114017329519,0.569056933335266,0.6934457558704791
lost,-0.4972831200761498,-0.49302389880278796,-0.5113459816645702,-0.640703217267552,-0.442407748518502,0.004882680901568266,-0.3703688222615043,-0.06361473636775454,0.047570188346698794,-0.7692592400673749,-0.28103306901218494,-0.7363871568954483,0.9023616304869612,-0.7068093824899856,-0.8976939045925825,0.46092695997906824,-0.5901055096175617,-0.7869691701336801,-0.7539347717358027,-0.8447721709408084,-0.46166329490029984,-0.7743356624748184,-0.8719965503426362,-0.8045047114751058,-0.7362532866527792,1.0,-0.37298341372381677,-0.8240568892913052,-0.6686755817858405,-0.794313468413181,-0.18411028754027894,-0.6006569263965955,0.6930363501222282,-0.8032839339830735,0.4944545032914778,-0.5406167583796739,-0.7926407812170785,-0.9071547498530148,-0.8279528565677398,-0.05528363662137725,-0.19033850331878427,-0.4893810398985747,-0.06333584892154039,-0.9211694425620531,-0.6546363410098458,-0.885843799119893,-0.8792512831780747,-0.7471177036503827,-0.7323658665449527,-0.5831251474840512,-0.8558228826489745,0.6966973146922916,-0.7988137633340602,-0.7735606077861787,-0.8160958763624778,-0.8719777063463869,-0.6304634262496034,-0.424581109789163,0.1092866995308604,-0.9207759157533378,-0.8093059433426953,-0.2870096032311639,-0.24544420200024766,-0.5830819635410432
trauma,0.8544163872214467,0.8689866039652563,0.881648006352403,0.9332820702250694,0.9053595685644389,-0.41621965255922966,0.9787025383116014,0.5340106039500854,-0.2878181847169706,0.68051478422472,0.7715291142401391,0.8590791468954538,-0.1424256126702691,-0.00453758318747888,0.5138012263782846,-0.9251227323978019,0.5783885772746118,0.7590484988711246,0.8259773603077433,0.7462751426917387,0.11825269850959452,0.8428471969238853,0.4397473490673812,0.8017314716198753,0.8606029290665671,-0.37298341372381677,1.0,0.6279960098626901,0.8926842746621075,0.8212272862956324,-0.007389746284303389,0.7793436760976482,-0.7563302717382024,0.512984707159276,-0.46372177128241626,0.9451564205902239,-0.12489224834708687,0.5749259015496855,0.697581585851816,-0.49630599409282355,-0.2148282231728663,0.2999708595690756,0.2880153179765231,0.4498539780023848,0.8472889931201865,0.5135735619445617,0.7106518487541227,0.1321285679807799,0.8616692029118617,0.8429627840522577,0.5897067594722666,-0.7180169760229118,0.7849486534419903,0.7907928295952183,0.618270740863207,0.7168783355962723,0.8382051431083315,0.8588419186483908,-0.8314929758694269,0.4976031081707706,0.6097710399357814,0.6595450142318681,0.5569533267562808,0.6525913189491288
unwanted,0.5935199812481945,0.5964963550123222,0.6151665399039904,0.8104755577216737,0.5890487566510705,-0.3641432290858269,0.6090860858409262,0.39534786063590527,0.036813600055107365,0.9377783633429008,0.3602539149484045,0.8432158212386627,-0.7222660792711331,0.670191001379605,0.8850227470898757,-0.7760374237640677,0.731656680497065,0.9224872716187831,0.9220784051039395,0.9558677575473223,0.604459970079279,0.9214089882079475,0.9525560505830426,0.8962774849970843,0.8599670341699585,-0.8240568892913052,0.6279960098626901,1.0,0.8141276972897544,0.933920189849521,0.337543795771585,0.7131270483824883,-0.9402804595886548,0.9082749831466088,-0.6317159737233634,0.8220601140396209,0.3973407970767858,0.9622061544606865,0.8279412210545907,-0.4096731986445597,-0.024969338225412585,0.6342478006197134,0.23348170366613688,0.8384833342737341,0.7735622374917329,0.9129106047069756,0.9547928522042565,0.39012830114805125,0.8556058026797141,0.7671013823147657,0.9708950794416805,-0.928607864035975,0.9386591512950407,0.8514882858068962,0.840048422175443,0.9381925994412181,0.793236453119459,0.5507655871031758,-0.5221246508459083,0.8998219685256694,0.9391862956751684,0.40869149653531145,0.3239565374041753,0.7680278834039864
bpd,0.9148855482605301,0.9293140484444523,0.9451987238490037,0.9766034666643597,0.9303904838053397,-0.18873668311797379,0.8937876877853225,0.27812215573558635,-0.34974507881217015,0.7587178187551523,0.7918853766738203,0.9759323701257441,-0.4505588331374485,0.36904285084507765,0.7303549368552872,-0.871096695572348,0.5975964814348584,0.9034808041285909,0.8823624771666967,0.8828551192452402,0.2849886917659994,0.925864244786928,0.7142374078391583,0.9392991188487458,0.9763910237782272,-0.6686755817858405,0.8926842746621075,0.8141276972897544,1.0,0.939526945804689,0.06020368570834178,0.8626480808144066,-0.8903955832979623,0.6290579359620239,-0.4992269767751794,0.9205496458248362,0.20490425320276956,0.7753732869963645,0.8677087990540278,-0.3947128904336561,-0.09639747719532425,0.3941759432207423,0.12162668644382969,0.656010362089348,0.8854120315248452,0.7575214071506976,0.8853119866351378,0.3212288415260593,0.9825122054193995,0.801801722303071,0.7751213513333063,-0.8219805857156305,0.9001990161341527,0.9564330920589639,0.7908151032826367,0.8629110901918758,0.9682928658000572,0.7624579595525874,-0.6376412808195225,0.7431550521878156,0.7266824069199354,0.7771106898556709,0.6954713874969223,0.6377146563877112
ptsd,0.7884020383136571,0.8020249883711725,0.8199454415181281,0.9498996346115741,0.7963654589186764,-0.30768809584240436,0.808287865316339,0.403110871685807,-0.16013100501631858,0.9099880846077066,0.6117519860668005,0.9681678736020911,-0.6374070997315162,0.4757915044833978,0.8831203412660824,-0.8688085436737168,0.751024795163567,0.9625336179109913,0.9768693333742863,0.9848183476854627,0.43194881382106115,0.9932679895932722,0.8418349222889842,0.9826277517102681,0.9730740283444146,-0.794313468413181,0.8212272862956324,0.933920189849521,0.939526945804689,1.0,0.20364804317143287,0.8629573178821167,-0.9377139251814682,0.8316626371272134,-0.6181618514844421,0.9209029151203517,0.3319802563891115,0.9223097094465978,0.9279905817503727,-0.35502836479757854,-0.0019594429606975836,0.5638792951557733,0.25365037866638324,0.8383783250374117,0.914358253264248,0.8885650335970822,0.9789260690113625,0.428337857653857,0.9693209795925085,0.8805059333867654,0.9255255990340839,-0.9032162414918656,0.9861896732896948,0.9566718905484014,0.8940971007984073,0.9698557479911484,0.8818260285438804,0.7579882542500002,-0.619750023299497,0.8680296331600523,0.9022369923790848,0.5412863830805721,0.4433992428925611,0.7898593660085459
suicide,-0.08975804943163018,-0.169432372954725,-0.1330312413534059,0.026663862389799523,-0.13970608673140364,-0.27962632824674016,-0.06627951740379595,0.10679709244730093,0.3768294730633777,0.3195332866655195,-0.21353903595720844,0.16383665525011704,-0.20379392023132328,0.1592166017228727,0.21088605875952626,-0.1300334808907514,0.6896845881098547,0.1612545262108402,0.20561506582882969,0.21746569085027434,0.45013780103340084,0.17949060091736024,0.275547107349716,0.14465834026638014,0.07363666838035346,-0.18411028754027894,-0.007389746284303389,0.337543795771585,0.06020368570834178,0.20364804317143287,1.0,0.004435542418083183,-0.2902967281529501,0.44823421344569503,-0.32736028055493654,0.19685158193405458,-0.07012574693619603,0.27948455978959147,0.2536294403731803,-0.1467548816953235,0.015888943387936005,0.9100000339853305,0.5505035300644934,0.31677794069370724,0.1134573222454161,0.27557012794696245,0.24830069475990588,-0.27619722512184386,0.07775155167253156,0.37856983892733426,0.39455384068075317,-0.3318936886518326,0.18838189614092699,0.08050413830130862,0.17362461170337,0.24033987310960456,0.15883185546182302,-0.22601731096285016,-0.2450069690847837,0.16809384249012838,0.3990544362124043,-0.014972269395393166,-0.03729339280562212,0.5735119273398409
vulnerable,0.6967122154468197,0.8550574657420413,0.8173061411245479,0.8711723986438107,0.7943271290088735,-0.1691145613064197,0.8169121649731096,0.34580188879894047,-0.3990340894582289,0.6818629203387913,0.8386956514602356,0.8993819987449373,-0.41248183732314947,0.3120378410672251,0.7632341453372218,-0.7946080291701149,0.5201757593568875,0.8442314167694491,0.8174384136201808,0.8081150949822241,0.25350959352615937,0.8418791981878365,0.6086588452215719,0.91147715880206,0.9085699413471858,-0.6006569263965955,0.7793436760976482,0.7131270483824883,0.8626480808144066,0.8629573178821167,0.004435542418083183,1.0,-0.7934887207383663,0.5393200551272007,-0.44205742988134195,0.8036326280041461,0.19161927427084674,0.7050053460982693,0.7979293400680497,-0.27526508504213054,0.16346165500164025,0.3533912907310805,0.23400887764197656,0.6780340821781874,0.915910855768183,0.7465602492014511,0.7953065547792209,0.3194294880043055,0.9137916962030768,0.7429958817002817,0.7346879004305114,-0.7407001601993034,0.8788405356780545,0.9318536619062642,0.7278775573012164,0.7548049496601644,0.7373359099674345,0.8170562836993095,-0.5182797785028055,0.638694073106506,0.6582576813084222,0.5359436871723567,0.40962462555937695,0.5683908243422909
lonely,-0.6958089241720921,-0.7522375640934365,-0.7513725432032464,-0.8840290603135894,-0.7412354589071035,0.35257714310339255,-0.7644535611972736,-0.46129623313815277,0.08846282848769323,-0.8986049573057182,-0.533759603757301,-0.8877840399375136,0.5355702267018452,-0.5570378878836184,-0.7939329658846803,0.8788310755350246,-0.69775532233009,-0.9113037571640542,-0.9272462272446994,-0.9302307243803912,-0.47720510589463166,-0.9337811896676118,-0.8617081378884552,-0.9217660205204445,-0.8978792721206341,0.6930363501222282,-0.7563302717382024,-0.9402804595886548,-0.8903955832979623,-0.9377139251814682,-0.2902967281529501,-0.7934887207383663,1.0,-0.7838020819351369,0.48270317849446037,-0.8995750577247618,-0.21457020318068903,-0.8904701349365153,-0.8019871495249898,0.5837210335824554,0.2194638358212307,-0.5919306616291142,-0.2871496588833282,-0.7316783296695404,-0.8240120738197928,-0.8123071010462459,-0.909186825385678,-0.2571633616254739,-0.9070326861334697,-0.8102748897564181,-0.9023730845432169,0.9591264524067725,-0.9326937757473179,-0.8888597992672922,-0.7671738997381887,-0.8814603500572952,-0.8546474266616769,-0.672359742213276,0.6889775693472204,-0.7795345339797115,-0.8717623836537103,-0.5325103910703947,-0.4359522891986787,-0.7429221965674231
sad,0.42145271565436665,0.35568132434786426,0.39577811162982035,0.6575241216094125,0.3642850745231948,-0.42659150757774256,0.43491496811407965,0.4486503359587918,0.3013630146694567,0.9462663014586721,0.11328675823178606,0.713819579795852,-0.7787116500241368,0.567923882416137,0.8722905272391742,-0.6324190089505153,0.835464682512756,0.8229009196708208,0.8701408484448965,0.8952542036467767,0.6019181053495516,0.8421711448597017,0.8711773327424635,0.778412998814278,0.7215661590517913,-0.8032839339830735,0.512984707159276,0.9082749831466088,0.6290579359620239,0.8316626371272134,0.44823421344569503,0.5393200551272007,-0.7838020819351369,1.0,-0.7018754679024077,0.7148182008898947,0.44840792013749353,0.9338821294238865,0.7890154504742769,-0.23954926853729736,0.054981111500981034,0.7127360937273078,0.3799797106553333,0.8816408647566184,0.7144512827847349,0.8716846821803326,0.8954899881567088,0.485041437667562,0.7032302612937801,0.7839433320115814,0.9436398973604414,-0.8148548522747662,0.851958932454776,0.6951061430630081,0.8320523540256171,0.9132374481548993,0.611426922450456,0.4579188133127056,-0.44313222288163995,0.8805510402607091,0.9633392143967409,0.1503343675403499,0.0735041664763618,0.8599164395689038
miserable,-0.4194958488016977,-0.24944601390222254,-0.32505954901647616,-0.4997003370673312,-0.2901462866359734,0.23194043431342531,-0.3474141603913382,-0.22443024412834656,0.059500557732449916,-0.5556635729742924,-0.20362175929071324,-0.5618576385438572,0.5388043400748391,-0.18656664007505175,-0.6167857365514133,0.44233422116377974,-0.5816481175288183,-0.5747631265728684,-0.5806218209422432,-0.612576218343885,-0.4950093212379025,-0.5925495173027898,-0.5359957256407606,-0.5241828979385296,-0.5629612290836096,0.4944545032914778,-0.46372177128241626,-0.6317159737233634,-0.4992269767751794,-0.6181618514844421,-0.32736028055493654,-0.44205742988134195,0.48270317849446037,-0.7018754679024077,1.0,-0.5382229200328874,-0.20043257677521062,-0.5721099804527251,-0.6541450887519792,-0.013890240268671243,-0.40793749094228365,-0.5052560997118378,-0.13544608102923672,-0.6187055089303946,-0.5090383359230393,-0.6763099685787569,-0.6463642309460514,-0.1454935866907808,-0.5256616248511914,-0.5356113872212674,-0.6313776473104369,0.4172569800690843,-0.5936797382879635,-0.5454929303823955,-0.6815984679001432,-0.6599084040037434,-0.4917452409624767,-0.3650264264653461,0.21521328297893105,-0.6412281985317867,-0.5769059371471137,-0.23228675824313055,-0.1817475850945766,-0.5683772989175426
low,0.7906325041242959,0.8129027665690848,0.8246616049566677,0.9574273490231299,0.8402555735566034,-0.5174767682067112,0.9228234372363574,0.594718559027461,-0.09970175663905378,0.8523743019881133,0.6546357158834375,0.913764535302996,-0.3166412829440585,0.22152713240613978,0.6608990063434536,-0.9649517405473077,0.7315298013013257,0.8827067962552603,0.9335022495824087,0.8739795130926957,0.32494350401800604,0.936464886453554,0.6531673061081633,0.8934596958500326,0.9112603306561395,-0.5406167583796739,0.9451564205902239,0.8220601140396209,0.9205496458248362,0.9209029151203517,0.19685158193405458,0.8036326280041461,-0.8995750577247618,0.7148182008898947,-0.5382229200328874,1.0,-0.004008620303357885,0.7625510939786142,0.7776563837512718,-0.5838675549816758,-0.21668807780638985,0.5029679973675064,0.4033185918506908,0.6122623294471116,0.8983966345772486,0.6749015811147662,0.8466560255733167,0.19583907564560046,0.9135407692789071,0.9188593509486219,0.7851800988283721,-0.8909242959427293,0.9045247435116494,0.8552179503574137,0.7105628896805901,0.8428798839358962,0.8850596438119244,0.777650461704845,-0.8353160216063883,0.6468785359885839,0.8017330926040112,0.6075407022721978,0.4987793138437621,0.8059366090174859
hopeless,0.12890234619275312,0.07753472644880803,0.1019690786685941,0.16186347604764845,0.022932169562396514,0.28719672642911753,-0.12050956744954458,-0.2809673322095042,-0.03188766718006996,0.3346828590306761,-0.06955526474355803,0.2668102438662798,-0.8358074402562081,0.6110119862616681,0.6140837646090308,0.09962188256721524,0.11557248361928257,0.32856063994860785,0.28258742260238884,0.42329370923719717,0.4170106807679679,0.31003300857970306,0.5702685198897721,0.36391346409208136,0.28592278486407036,-0.7926407812170785,-0.12489224834708687,0.3973407970767858,0.20490425320276956,0.3319802563891115,-0.07012574693619603,0.19161927427084674,-0.21457020318068903,0.44840792013749353,-0.20043257677521062,-0.004008620303357885,1.0,0.548481160333495,0.45950143741084326,0.44627867128208365,0.3097781990532525,0.10634292120542166,-0.21884963934207174,0.6899082996693324,0.20100084745074429,0.5750314831768054,0.4764550342459523,0.7969396798847022,0.27949469811667926,0.05311191641830625,0.44470606174860994,-0.19443623078569136,0.3370382731352912,0.36827564855297684,0.5136378059945788,0.4661751505843114,0.1602904995740742,0.08495789964033908,0.42060956109752146,0.6631538961570842,0.3886966397096088,-0.05286304481934848,-0.022847285433095665,0.09183956933403396
aching,0.5713961165390434,0.5790484429715909,0.5954044909540042,0.7832305188254133,0.5544095269359286,-0.27074357455871784,0.5538448336754768,0.36282254645242845,0.09179754786872281,0.9516709289371261,0.32247059073013484,0.834310312969952,-0.8203316602264198,0.690902761327849,0.9424810043312366,-0.6997249253278912,0.7465406894958606,0.9244599188990504,0.9244015450805679,0.9688332742936789,0.5303612196372283,0.9211319205376635,0.9518144267070149,0.9069426168065678,0.8490540825638406,-0.9071547498530148,0.5749259015496855,0.9622061544606865,0.7753732869963645,0.9223097094465978,0.27948455978959147,0.7050053460982693,-0.8904701349365153,0.9338821294238865,-0.5721099804527251,0.7625510939786142,0.548481160333495,1.0,0.8717386917107586,-0.2838661765267121,0.015643851769927285,0.608120231681844,0.2535944827118301,0.9231719539581054,0.8007086164124029,0.9345335756648215,0.9694502113170601,0.5917267912675545,0.8422440019957437,0.7768518320877855,0.9798394805342352,-0.8888736703617113,0.9395809186458863,0.8513880025002376,0.8859173553100659,0.9651764380527372,0.7291694462718412,0.5694674626932089,-0.4290640787828656,0.9438553762326618,0.9657618436260975,0.3066303783675941,0.22869825537953847,0.7816840826241627
always,0.7937540485475896,0.7332423055730132,0.7789464175229167,0.8514468530941017,0.7282713140435312,-0.06145232412501733,0.6595953074979167,0.14652949318269115,-0.17657253493260364,0.7910120987219825,0.5828172052236466,0.9378103457993078,-0.7348240471301795,0.4515225560526185,0.8935338840490303,-0.6664742152276653,0.7632217480042486,0.9026141556381111,0.8660810331581648,0.9146809464093698,0.37671062035502334,0.9052845584686794,0.7813083840170701,0.9191002802941513,0.9185475353210556,-0.8279528565677398,0.697581585851816,0.8279412210545907,0.8677087990540278,0.9279905817503727,0.2536294403731803,0.7979293400680497,-0.8019871495249898,0.7890154504742769,-0.6541450887519792,0.7776563837512718,0.45950143741084326,0.8717386917107586,1.0,-0.08930888952246832,0.19973179341950503,0.5926522218868576,0.1954047827198938,0.8853986963354136,0.8726101027441934,0.904670831680449,0.9458468497651078,0.5237088244471086,0.9064946969042843,0.820966362734854,0.8745992471944638,-0.7314401953503822,0.8976769507847882,0.9269902675863376,0.9519976377387235,0.9414315130127117,0.8236662964738094,0.6327373329189211,-0.4021081913277429,0.8833803610816138,0.8324506089873779,0.5265743086008146,0.4622864882555976,0.7532262451837806
never,-0.2735721484903976,-0.38248182436960176,-0.34716521538114514,-0.4419628514918092,-0.4282769331092097,0.6192325450112609,-0.5294702655503508,-0.6700485907326859,-0.17607204362638307,-0.43825431959186223,-0.21610867211661505,-0.3066426680650444,-0.24329411024531122,-0.09503598121597776,-0.044479004688460264,0.6499085075828243,-0.26999922534640974,-0.3963289021604493,-0.4252623453893776,-0.32681909453766683,-0.17036030518809422,-0.39513846561386073,-0.28908563382791763,-0.3159059327979587,-0.32666179558482844,-0.05528363662137725,-0.49630599409282355,-0.4096731986445597,-0.3947128904336561,-0.35502836479757854,-0.1467548816953235,-0.27526508504213054,0.5837210335824554,-0.23954926853729736,-0.013890240268671243,-0.5838675549816758,0.44627867128208365,-0.2838661765267121,-0.08930888952246832,1.0,0.634482517598657,-0.2062843929350843,-0.3675018402976474,0.009556243001907912,-0.3256051508508986,-0.072655143250693,-0.2554869934644629,0.3040978149029475,-0.345973361383219,-0.40988204917066906,-0.2990856221775341,0.5867375995218957,-0.3739786204952882,-0.27041204254528217,-0.03536040024849036,-0.2339511926876326,-0.4068981892318026,-0.30518711347463423,0.737302104959015,-0.05634376628190918,-0.35217956139418943,-0.27677060105429285,-0.21506909708396563,-0.3866783763510137
down,-0.13238309946752586,-0.14534088123985947,-0.1386481139302354,-0.13487619481991206,-0.1833128251586696,0.2681643603735156,-0.2574965908345155,-0.3941030217379929,-0.18951112270643306,-0.1280279810116902,0.07628397438443384,0.02460362911246189,-0.3268153838834916,0.1030376400991502,0.27350751639933674,0.2566130388774989,-0.008009434836724104,0.057154100044370264,-0.09356250764018126,-0.0012855146260199453,0.17531632259744415,-0.06875552048598409,0.04523446375230099,-1.1987218885571595e-05,0.03640737156824948,-0.19033850331878427,-0.2148282231728663,-0.024969338225412585,-0.09639747719532425,-0.0019594429606975836,0.015888943387936005,0.16346165500164025,0.2194638358212307,0.054981111500981034,-0.40793749094228365,-0.21668807780638985,0.3097781990532525,0.015643851769927285,0.19973179341950503,0.634482517598657,1.0,0.054139473088209274,-0.2496089204183829,0.24376922056584296,0.05172154462795991,0.29360409902290396,0.059023338472518005,0.1467270834258434,-0.0021566449345825247,-0.11888102525619625,0.0842324445883847,0.2745537802371346,0.02809915676697362,0.08906895442458428,0.23506981892507922,0.04696152538115494,-0.15012741563137358,-0.11216580048303883,0.5046994062438508,0.19363492740944968,-0.038456112267738304,-0.13901173722538904,-0.15063634623990654,-0.08517390352515508
