Year,Male,Female,Total,Ages 18-25,Ages 26-49,Ages 50 or Older,mental health,depression,mentally ill,mental illness,unwell,not well,struggle,self harm,suicidal,i hate myself,anymore,help me,cutting,pain,kill me,anxiety,social anxiety,worse,unmotivated,lost,trauma,unwanted,bpd,ptsd,suicide,vulnerable,lonely,sad,miserable,low,hopeless,aching,always,never,down,stressed,helpless,worthless,insecure,stuck,hurting,numb,intrusive,don't know why,crying,nothing matters,empty,overwhelmed,hurt,tired,grippy socks,stressy depressy,suey,kms,kill myself,unalive,unaliving,crippling
2008,13.6,21.5,17.7,18.5,20.7,14.1,46.5,63.75,46.916666666666664,47.583333333333336,33.166666666666664,16.333333333333332,72.5,24.75,33.166666666666664,42.833333333333336,11.416666666666666,55.833333333333336,48.25,47.083333333333336,24.833333333333332,34.25,41.5,30.333333333333332,38.0,47.166666666666664,37.25,44.5,18.916666666666668,21.166666666666668,16.25,14.333333333333334,39.666666666666664,30.083333333333332,9.0,65.58333333333333,20.833333333333332,54.75,46.666666666666664,60.666666666666664,64.75,7.5,45.583333333333336,39.666666666666664,9.833333333333334,36.583333333333336,21.416666666666668,53.916666666666664,14.666666666666666,0.0,42.583333333333336,59.416666666666664,56.25,11.583333333333334,27.5,39.666666666666664,0.0,0.0,60.083333333333336,42.0,43.666666666666664,0.8333333333333334,0.0,13.916666666666666
2009,14.2,21.8,18.1,18.0,21.6,14.5,43.75,61.0,45.0,44.833333333333336,35.583333333333336,18.666666666666668,67.0,24.083333333333332,35.833333333333336,43.833333333333336,15.083333333333334,61.083333333333336,47.083333333333336,49.25,22.25,35.416666666666664,43.916666666666664,27.0,42.166666666666664,45.5,38.0,41.833333333333336,20.0,22.166666666666668,15.083333333333334,13.5,43.333333333333336,35.25,7.583333333333333,64.41666666666667,22.416666666666668,56.333333333333336,55.333333333333336,62.916666666666664,72.58333333333333,8.0,36.083333333333336,41.666666666666664,11.833333333333334,42.166666666666664,24.833333333333332,54.166666666666664,16.0,0.0,44.75,83.83333333333333,56.916666666666664,14.916666666666666,34.5,45.083333333333336,0.0,0.0,64.5,49.25,42.583333333333336,0.0,0.0,14.333333333333334
2010,14.8,21.1,18.1,18.1,20.9,15.1,41.166666666666664,57.0,44.75,44.75,32.666666666666664,20.5,50.416666666666664,24.5,41.333333333333336,47.166666666666664,16.666666666666668,58.166666666666664,48.25,52.75,26.416666666666668,37.666666666666664,44.5,29.5,44.75,47.5,38.416666666666664,43.416666666666664,19.833333333333332,25.916666666666668,15.083333333333334,14.083333333333334,44.25,42.083333333333336,6.5,63.333333333333336,24.5,56.333333333333336,60.583333333333336,76.41666666666667,73.75,8.75,33.25,44.0,12.916666666666666,53.0,32.25,54.833333333333336,17.5,0.0,47.583333333333336,89.58333333333333,56.833333333333336,17.833333333333332,50.916666666666664,51.833333333333336,0.0,5.25,65.08333333333333,58.25,45.416666666666664,0.0,0.0,14.083333333333334
2011,14.2,21.1,17.8,18.5,20.3,15.0,38.583333333333336,55.083333333333336,42.333333333333336,46.666666666666664,34.333333333333336,24.5,39.333333333333336,30.916666666666668,44.25,48.416666666666664,18.416666666666668,59.833333333333336,50.25,56.333333333333336,28.083333333333332,41.083333333333336,47.5,34.666666666666664,46.166666666666664,29.416666666666668,34.666666666666664,46.166666666666664,21.916666666666668,29.333333333333332,14.333333333333334,16.0,49.0,47.75,6.666666666666667,61.583333333333336,41.75,63.333333333333336,63.083333333333336,89.25,78.33333333333333,9.666666666666666,33.416666666666664,50.0,14.416666666666666,56.75,40.583333333333336,61.083333333333336,19.666666666666668,0.0,51.916666666666664,85.83333333333333,59.916666666666664,22.166666666666668,46.25,58.583333333333336,1.0,0.0,72.91666666666667,63.666666666666664,48.416666666666664,0.0,0.0,14.166666666666666
2012,14.9,22.0,18.6,19.6,21.2,15.8,37.083333333333336,55.666666666666664,44.666666666666664,50.666666666666664,32.0,27.5,32.166666666666664,49.333333333333336,45.916666666666664,50.333333333333336,18.166666666666668,63.0,52.5,61.416666666666664,28.25,46.75,56.166666666666664,39.583333333333336,48.083333333333336,27.75,32.583333333333336,51.083333333333336,26.5,32.583333333333336,15.166666666666666,17.0,38.75,50.25,7.416666666666667,61.75,46.166666666666664,73.08333333333333,68.33333333333333,77.08333333333333,70.91666666666667,11.916666666666666,39.0,53.416666666666664,18.25,59.083333333333336,48.333333333333336,63.083333333333336,22.583333333333332,0.0,58.333333333333336,73.75,61.666666666666664,31.916666666666668,50.833333333333336,62.166666666666664,2.8333333333333335,0.0,74.16666666666667,67.08333333333333,54.083333333333336,0.0,0.5,16.333333333333332
2013,14.4,22.3,18.5,19.4,21.5,15.3,38.0,54.583333333333336,47.166666666666664,59.0,32.083333333333336,27.083333333333332,29.666666666666668,88.33333333333333,50.0,46.0,18.0,67.0,57.75,67.33333333333333,29.833333333333332,50.583333333333336,66.5,41.833333333333336,52.583333333333336,27.833333333333332,32.666666666666664,56.75,27.916666666666668,35.833333333333336,14.5,17.833333333333332,35.416666666666664,54.25,9.0,62.666666666666664,43.583333333333336,77.33333333333333,64.58333333333333,73.41666666666667,71.66666666666667,12.833333333333334,29.25,50.75,18.5,65.66666666666667,51.0,61.916666666666664,26.583333333333332,0.0,67.33333333333333,59.583333333333336,65.5,30.333333333333332,52.916666666666664,65.16666666666667,4.5,0.0,67.5,73.33333333333333,63.416666666666664,0.0,0.0,15.0
2014,14.1,21.8,18.1,20.1,20.4,15.4,38.583333333333336,58.083333333333336,45.583333333333336,61.166666666666664,31.666666666666668,28.666666666666668,29.083333333333332,87.25,50.416666666666664,43.083333333333336,18.833333333333332,69.58333333333333,60.333333333333336,69.41666666666667,25.583333333333332,53.833333333333336,69.16666666666667,42.916666666666664,54.333333333333336,27.833333333333332,34.083333333333336,65.66666666666667,30.166666666666668,39.833333333333336,15.25,20.5,32.75,64.16666666666667,6.25,65.16666666666667,35.916666666666664,79.58333333333333,63.75,71.0,73.83333333333333,13.75,29.75,49.833333333333336,18.5,70.33333333333333,55.416666666666664,59.916666666666664,27.416666666666668,0.0,73.75,51.833333333333336,69.16666666666667,33.416666666666664,52.333333333333336,68.83333333333333,6.25,0.0,69.16666666666667,74.66666666666667,64.41666666666667,0.6666666666666666,0.0,17.333333333333332
2015,14.3,21.2,17.9,21.7,20.9,14.0,40.833333333333336,60.166666666666664,46.083333333333336,64.58333333333333,29.75,30.666666666666668,30.583333333333332,75.08333333333333,51.166666666666664,42.833333333333336,19.083333333333332,70.08333333333333,64.08333333333333,73.75,57.666666666666664,60.333333333333336,73.66666666666667,43.916666666666664,56.583333333333336,27.75,36.25,71.5,34.166666666666664,45.333333333333336,18.75,21.416666666666668,29.083333333333332,72.33333333333333,5.916666666666667,68.33333333333333,42.25,82.33333333333333,66.08333333333333,65.91666666666667,74.5,20.833333333333332,34.583333333333336,54.333333333333336,20.0,73.41666666666667,62.5,56.916666666666664,29.583333333333332,0.0,76.75,50.333333333333336,70.5,38.166666666666664,54.25,70.91666666666667,8.5,0.0,68.08333333333333,77.33333333333333,67.33333333333333,1.0833333333333333,0.3333333333333333,19.666666666666668
2016,14.5,21.7,18.3,22.1,21.1,14.5,44.25,59.916666666666664,47.666666666666664,69.83333333333333,31.583333333333332,39.166666666666664,31.083333333333332,60.416666666666664,52.166666666666664,40.25,59.333333333333336,70.08333333333333,69.66666666666667,77.33333333333333,40.333333333333336,67.08333333333333,67.75,48.833333333333336,57.833333333333336,26.75,38.916666666666664,70.08333333333333,36.166666666666664,50.416666666666664,33.666666666666664,22.583333333333332,26.666666666666668,81.41666666666667,6.0,70.91666666666667,32.916666666666664,84.5,75.08333333333333,69.58333333333333,73.08333333333333,63.083333333333336,48.333333333333336,56.75,28.333333333333332,73.75,67.25,55.333333333333336,31.416666666666668,69.16666666666667,85.33333333333333,37.666666666666664,72.58333333333333,38.166666666666664,56.916666666666664,78.33333333333333,11.083333333333334,0.0,60.25,73.08333333333333,79.58333333333333,1.0,0.0,48.083333333333336
2017,15.1,22.3,18.9,25.8,22.2,13.8,48.75,64.16666666666667,56.333333333333336,76.5,31.583333333333332,41.583333333333336,31.833333333333332,58.833333333333336,52.333333333333336,39.583333333333336,50.0,78.33333333333333,76.0,80.66666666666667,34.416666666666664,74.66666666666667,68.41666666666667,52.333333333333336,63.75,26.25,43.0,70.83333333333333,39.166666666666664,53.25,20.333333333333332,23.75,29.666666666666668,86.25,6.25,74.25,34.75,89.16666666666667,74.91666666666667,65.0,72.83333333333333,30.0,50.0,55.5,44.25,73.16666666666667,72.66666666666667,62.916666666666664,35.5,78.08333333333333,84.83333333333333,35.083333333333336,77.16666666666667,41.5,62.583333333333336,84.66666666666667,12.333333333333334,2.0,61.416666666666664,77.91666666666667,86.33333333333333,0.6666666666666666,0.0,52.333333333333336
2018,15.2,22.8,19.1,26.3,22.5,14.0,55.25,66.33333333333333,49.5,80.83333333333333,34.166666666666664,41.5,30.916666666666668,56.166666666666664,54.0,35.916666666666664,40.75,73.83333333333333,80.91666666666667,85.75,36.583333333333336,80.66666666666667,69.5,54.25,66.66666666666667,25.166666666666668,48.5,70.08333333333333,45.583333333333336,55.25,17.416666666666668,23.833333333333332,26.083333333333332,89.66666666666667,6.083333333333333,75.91666666666667,38.5,89.58333333333333,72.25,66.41666666666667,68.33333333333333,24.75,43.666666666666664,56.166666666666664,41.416666666666664,72.16666666666667,74.08333333333333,61.916666666666664,39.25,71.16666666666667,83.58333333333333,33.083333333333336,77.5,43.916666666666664,59.833333333333336,86.5,14.0,30.25,57.416666666666664,80.33333333333333,81.83333333333333,1.4166666666666667,0.0,40.916666666666664
2019,16.3,24.5,20.6,29.4,25.0,14.1,62.0,65.58333333333333,42.916666666666664,75.5,35.916666666666664,43.583333333333336,31.416666666666668,51.166666666666664,51.916666666666664,33.916666666666664,38.25,74.66666666666667,82.41666666666667,87.91666666666667,31.083333333333332,86.5,69.75,55.416666666666664,67.66666666666667,24.25,48.916666666666664,74.08333333333333,50.833333333333336,61.75,14.833333333333334,25.5,23.583333333333332,77.33333333333333,6.333333333333333,76.08333333333333,37.083333333333336,89.75,74.75,62.75,68.16666666666667,23.166666666666668,37.25,55.833333333333336,31.0,69.25,75.5,60.666666666666664,39.833333333333336,67.33333333333333,79.58333333333333,32.083333333333336,78.33333333333333,45.833333333333336,61.083333333333336,88.75,15.0,34.333333333333336,56.333333333333336,79.58333333333333,81.58333333333333,0.6666666666666666,0.0,37.833333333333336
2020,15.8,25.8,21.0,30.6,25.3,14.5,65.66666666666667,64.83333333333333,39.75,74.16666666666667,56.083333333333336,55.416666666666664,33.416666666666664,54.25,59.333333333333336,33.25,36.666666666666664,80.58333333333333,84.16666666666667,89.91666666666667,33.083333333333336,88.91666666666667,67.83333333333333,67.25,79.91666666666667,24.416666666666668,50.916666666666664,71.5,57.5,66.41666666666667,14.166666666666666,48.083333333333336,22.166666666666668,71.25,6.333333333333333,77.25,36.333333333333336,89.75,80.75,68.25,76.33333333333333,23.583333333333332,44.25,59.25,59.583333333333336,81.33333333333333,80.08333333333333,61.0,51.833333333333336,79.75,87.5,30.333333333333332,85.58333333333333,68.16666666666667,65.5,86.58333333333333,14.166666666666666,47.333333333333336,59.416666666666664,78.25,78.75,3.0833333333333335,0.0,37.0
2021,18.1,27.2,22.8,33.7,28.1,15.0,69.75,56.583333333333336,38.916666666666664,69.83333333333333,58.666666666666664,63.333333333333336,37.333333333333336,64.5,52.833333333333336,32.583333333333336,37.0,82.0,80.25,88.66666666666667,32.5,89.75,72.75,65.66666666666667,85.58333333333333,23.666666666666668,55.75,75.58333333333333,77.33333333333333,69.0,16.666666666666668,36.333333333333336,18.75,67.25,6.166666666666667,81.08333333333333,33.416666666666664,87.33333333333333,83.91666666666667,63.416666666666664,70.25,23.25,33.333333333333336,53.166666666666664,50.833333333333336,78.16666666666667,85.33333333333333,58.75,57.75,73.25,83.25,27.083333333333332,81.75,70.41666666666667,66.5,90.83333333333333,36.0,24.75,57.0,82.5,73.41666666666667,21.583333333333332,8.0,34.416666666666664
